cricheroes_match_id,cricheroes_team_id,cricheroes_player_id,batting_order,is_captain,is_keeper,is_substitute
6948381,1597088,19421271,6,0,0,0
6948381,1597088,8445462,7,1,0,0
6948381,1597087,8578931,1,0,0,0
6948381,1597087,10031570,3,0,0,0
6948381,1597087,10047098,,0,0,0
6948381,1597087,809163,6,0,0,0
6948381,1597087,7662592,5,0,1,0
6948381,1597087,8452770,2,0,0,0
6948381,1597087,8444550,4,1,0,0
7092207,1597085,809867,1,0,0,0
7092207,1597085,8556484,2,0,0,0
7092207,1597085,8556544,3,0,0,0
7092207,1597085,8445414,4,0,0,0
7092207,1597085,5994303,5,0,0,0
7092207,1597085,8846097,6,0,0,0
7092207,1597085,5922441,7,1,0,0
7092207,1597087,8578931,1,0,0,0
7092207,1597087,10031570,3,0,0,0
7092207,1597087,10047098,,0,0,0
7092207,1597087,809163,5,0,0,0
7092207,1597087,8452770,6,0,0,0
7092207,1597087,7662592,2,0,0,0
7092207,1597087,8444550,4,0,0,0
7092606,1597088,8445356,1,0,0,0
7092606,1597088,6508655,2,0,0,0
7092606,1597088,8445462,3,1,0,0
7092606,1597088,8444531,4,0,0,0
7092606,1597088,19421271,5,0,0,0
7092606,1597088,8469156,6,0,0,0
7092606,1597088,8445318,7,0,0,0
7092606,1597084,3542117,1,0,0,0
7092606,1597084,10046726,3,0,0,0
7092606,1597084,10031492,5,0,0,0
7092606,1597084,8814171,4,0,0,0
7092606,1597084,8129644,6,1,0,0
7092606,1597084,8453971,2,0,0,0
7093189,1597088,8445356,1,0,0,0
7093189,1597088,6508655,2,0,0,0
7093189,1597088,8445462,3,1,0,0
7093189,1597088,8445318,4,0,0,0
7093189,1597088,8444531,5,0,0,0
7093189,1597087,8578931,1,0,0,0
7093189,1597087,10031570,3,0,0,0
7093189,1597087,10047098,,0,0,0
7093189,1597087,7662592,2,0,0,0
7093189,1597087,809163,5,0,0,0
7093189,1597087,8452770,4,0,0,0
7093189,1597088,8469156,,0,0,0
7512871,1597085,809867,1,0,0,0
7512871,1597085,8556484,2,0,0,0
7512871,1597085,8556544,3,0,0,0
7512871,1597085,8445414,4,0,0,0
7512871,1597085,5994303,5,0,0,0
7512871,1597085,5922441,6,1,0,0
7512871,1597085,8846097,7,0,0,0
7512871,1597087,8578931,1,0,0,0
7512871,1597087,10031570,3,0,0,0
7512871,1597087,7662592,7,0,0,0
7512871,1597087,809163,5,0,0,0
7512871,1597087,8452770,4,0,0,0
7512871,1597087,10047098,2,0,0,0
7512871,1597087,8444550,6,1,0,0
10869150,6733389,24597937,1,0,0,0
10869150,6733389,6508655,2,0,0,0
10869150,6733389,8445462,3,1,0,0
10869150,6733389,8444531,4,0,0,0
10869150,6733389,8445318,5,0,0,0
10869150,6733389,29631807,6,0,0,0
10869150,3881115,8450899,1,0,0,0
10869150,3881115,10052159,3,1,0,0
10869150,3881115,8444682,5,0,0,0
10869150,3881115,10052031,4,0,0,0
10869150,3881115,19645071,6,0,0,0
10869150,3881115,29632164,,0,0,0
10869150,3881115,8670699,2,0,0,0
10869160,6767128,10075428,1,0,0,0
10869160,6767128,8846097,2,0,0,0
10869160,6767128,8556544,3,0,0,0
10869160,6767128,5922441,4,1,0,0
10869160,6767128,8445414,5,0,0,0
10869160,6767128,5994303,6,0,0,0
10869160,6767128,8556484,7,0,0,0
10869160,6767132,29631917,1,0,0,0
10869160,6767132,4048300,3,0,0,0
10869160,6767132,8445343,4,0,0,0
10869160,6767132,4143096,6,0,0,0
10869160,6767132,4048334,5,1,0,0
10869160,6767132,10339400,2,0,0,0
10869160,6767132,8444668,7,0,1,0
10869162,1597084,3542117,1,0,0,0
10869162,1597084,14211268,2,0,0,0
10869162,1597084,10046726,3,0,0,0
10869162,1597084,10031492,4,0,0,0
10869162,1597084,8129644,5,1,0,0
10869162,1597084,8814171,6,0,0,0
10869162,1597084,19048034,7,0,0,0
10869162,6767134,10117071,1,0,0,0
10869162,6767134,8445420,3,0,1,0
10869162,6767134,8445368,5,0,0,0
10869162,6767134,1224122,7,0,0,0
10869162,6767134,8445342,4,0,0,0
10869162,6767134,8445499,6,0,0,0
10869162,6767134,8445292,2,0,0,0
10869170,6733389,24597937,1,0,0,0
10869170,6733389,6508655,2,0,0,0
10869170,6733389,8445462,3,1,0,0
10869170,6733389,8445318,4,0,0,0
10869170,6733389,8444531,5,0,0,0
10869170,6733389,29631807,6,0,0,0
10869170,6767130,8578931,1,0,0,0
10869170,6767130,29631844,3,0,0,0
10869170,6767130,809163,5,0,0,0
10869170,6767130,7662592,2,0,0,0
10869170,6767130,8452770,4,0,0,0
10869170,6767130,10047098,7,0,0,0
10869170,6767130,8444550,6,1,0,0
10869170,6733389,8469156,,0,0,0
10869175,6767128,10075428,1,0,0,0
10869175,6767128,8846097,2,0,1,0
10869175,6767128,8556544,3,0,0,0
10869175,6767128,8445414,4,0,0,0
10869175,6767128,5922441,5,1,0,0
10869175,6767128,5994303,6,0,0,0
10869175,6767128,8556484,7,0,0,0
10869175,6767134,10117071,1,0,0,0
10869175,6767134,8445420,3,0,0,0
10869175,6767134,8445368,4,0,0,0
10869175,6767134,8445342,7,1,0,0
10869175,6767134,1224122,6,0,0,0
10869175,6767134,8445499,5,0,0,0
10869175,6767134,8445292,2,0,0,0
