cricheroes_tournament_id,cricheroes_team_id,cricheroes_player_id,name,rank,matches,batting,bowling,fielding,total
443660,1597084,10052031,Yashu,17,7,6.148,1.228,0.720,8.096
443660,1597087,8445343,Anantha Madhava,18,7,2.565,4.981,0.480,8.026
443660,1597090,8445368,Jeethu,19,6,4.614,1.331,1.104,7.049
443660,1597085,809163,Pranav Pk,20,5,5.852,0.832,0.192,6.876
443660,1597085,8556544,Sudhindhra,21,5,3.562,2.734,0.480,6.776
443660,1597087,8445420,Madhusudhan K S,22,8,3.141,2.278,1.008,6.427
443660,1597091,8445356,Pradyumna,23,7,3.888,2.132,0.000,6.020
443660,1597091,10046726,Shrivatsa Hatwar,24,7,3.641,1.078,0.984,5.703
443660,1597087,8846097,Nandan Kashyap,25,8,1.621,1.060,2.772,5.453
443660,1597090,10031570,Sridhar Ramchandrachar,26,6,2.302,1.003,1.800,5.105
443660,1597084,8670699,Ajith P,27,7,1.925,2.527,0.432,4.884
443660,1597088,1224122,Badri (5a),28,5,1.990,2.728,0.000,4.718
443660,1597085,809867,Prabhav Pk,29,5,2.483,1.970,0.042,4.495
443660,1597087,8578931,Srihari,30,8,1.668,2.146,0.480,4.294
443660,1597088,8556484,Srinidhi Ns,31,5,2.445,1.667,0.000,4.112
443660,1597085,5922441,Prasanna,32,4,2.466,1.215,0.000,3.681
443660,1597085,8469156,Sridhar,33,5,0.648,2.895,0.000,3.543
443660,1597088,8445462,Prasad K S,34,5,2.448,0.803,0.000,3.251
443660,1597090,8445309,Sandeep,35,6,2.476,0.738,0.000,3.214
443660,1597084,10047098,Aditya Hatwar,36,3,1.711,0.000,0.600,2.311
443660,1597087,8444550,Bharadwaj Srivatsa,37,3,0.954,0.926,0.192,2.072
443660,1597088,8453971,Srikanth Krishnamurthy,38,2,0.000,1.027,0.960,1.987
443660,1597085,8445292,Mahesh,39,4,1.133,-0.034,0.000,1.099
443660,1597088,10052245,Amith,40,4,1.036,-0.078,0.000,0.958
443660,1597090,8469155,Krishna Mys,41,2,0.782,0.000,0.000,0.782
443660,1597090,15027628,Srisha Badarayan,42,1,0.097,-0.047,0.000,0.050
577076,1597085,8445414,Tej,1,8,20.669,3.941,2.544,27.154
577076,1597087,8452770,Ashrith Kashyap,2,9,15.238,6.248,1.176,22.662
577076,1597084,10031492,Mady,3,7,14.663,2.956,0.960,18.579
577076,1597090,8445368,Jeethu,4,6,11.086,5.718,0.882,17.686
577076,1597088,8445318,K S Akshay Kaushik,5,8,14.199,2.040,0.960,17.199
577076,1597087,809163,Pranav Pk,6,9,11.481,4.405,1.056,16.942
577076,388115,4416809,Bharath G S Agasthya,7,6,11.694,2.644,1.920,16.258
577076,1597088,8445356,Pradyumna,8,8,7.480,6.717,1.200,15.397
577076,1597087,8444550,Bharadwaj Srivatsa,9,8,10.210,2.615,0.864,13.689
577076,1597084,8129644,Pavan Kashyap,10,7,8.442,2.836,1.872,13.150
577076,1597085,5994303,Srikanth T K,11,8,10.320,1.420,1.200,12.940
577076,1597087,8578931,Srihari,12,9,6.579,4.765,1.440,12.784
577076,1597090,1224122,Badriprasad,13,6,8.371,3.358,0.936,12.665
577076,1597088,8444531,Shreenidhi Prakash,14,8,10.578,-0.086,1.200,11.692
577076,1597084,8814171,Pavan Raghavendra,15,7,9.940,1.348,0.144,11.432
577076,1597090,8445499,Paneendra Gautham,16,6,4.314,5.894,1.200,11.408
577076,1597091,4143096,Aniruddha Dv,17,6,7.789,2.779,0.432,11.000
577076,1597085,8556544,Sudhindhra,18,8,4.800,5.337,0.624,10.761
577076,388115,8444682,Pavan Gautham,19,5,9.476,1.106,0.000,10.582
577076,1597091,8445343,Anantha Madhava,20,6,5.618,3.484,1.392,10.494
577076,1597088,19421271,Krishnamurthy,21,7,7.606,0.181,1.392,9.179
577076,1597087,10047098,Aditya Hatwar,22,9,4.159,3.875,0.840,8.874
577076,1597087,10031570,Sridhar Ramchandrachar,23,9,5.013,3.491,0.240,8.744
577076,1597085,809867,Prabhav Pk,24,8,5.086,3.249,0.240,8.575
577076,1597084,3542117,Amith P,25,7,4.007,2.659,1.392,8.058
577076,1597088,8445462,Prasad K S,25,8,5.500,2.558,0.000,8.058
577076,1597085,5922441,Prasanna,26,6,1.230,6.392,0.000,7.622
577076,1597087,7662592,Vittala,27,8,2.800,1.349,3.264,7.413
577076,1597085,8846097,Vishnunandan,28,8,4.130,1.592,1.536,7.258
577076,1597091,8444668,Srisha Badarayana H S,29,5,5.206,1.804,0.000,7.010
577076,1597084,10046726,Shrivatsa Hatwar,30,7,6.093,0.648,0.000,6.741
577076,388115,10052159,Praveena,31,6,3.634,1.733,1.200,6.567
577076,1597085,8556484,Srinidhi Ns,32,8,4.253,1.024,1.056,6.333
577076,1597084,8453971,Srikanth Krishnamurthy,33,5,0.300,3.242,2.352,5.894
