cricheroes_match_id,innings_number,cricheroes_team_id,bowling_order,cricheroes_player_id,name,overs,maidens,runs,wickets,dots,fours_conceded,sixes_conceded,wides,noballs,economy_rate
2278779,2,1597087,1,8578931,Srihari,1,0,12,0,4,0,2,0,0,12.00
2278779,2,1597087,2,10031492,Mady,2,0,34,0,4,2,4,0,0,17.00
2278779,2,1597087,3,8846097,Vishnunandan,2,0,15,0,9,0,1,5,1,7.50
2278779,2,1597087,4,8452770,Ashrith Kashyap,1,0,10,1,2,0,1,1,0,10.00
2278779,2,1597087,5,8445420,Madhusudhan K S,1,0,2,1,4,0,0,0,0,2.00
2278783,1,1597090,1,8445309,Sandeep,1,0,12,0,0,0,1,1,0,12.00
2278783,1,1597090,2,4416809,Bharath G S Agasthya,2,0,10,1,5,1,0,0,0,5.00
2278783,1,1597090,3,8445368,Jeethu,2,0,14,1,6,1,1,0,0,7.00
2278783,1,1597090,4,8445342,Guruprasad Ramachandrachar,1,1,0,1,6,0,0,0,0,0.00
2278783,1,1597090,5,10031570,Sridhar Ramchandrachar,1,0,16,0,3,0,2,0,2,16.00
2278783,2,1597085,1,809867,Prabhav Pk,1,0,2,0,5,0,0,1,0,2.00
2278783,2,1597085,2,8445414,Tej,2,0,4,1,9,0,0,1,0,2.00
2278783,2,1597085,3,8469156,Sridhar,1,0,17,1,2,1,2,0,0,17.00
2278783,2,1597085,4,809163,Pranav Pk,2,1,11,2,9,1,1,0,0,5.50
2278783,2,1597085,5,5922441,Prasanna,1,1,0,0,6,0,0,0,0,0.00
2278786,1,1597088,1,8556484,Srinidhi NS,1,0,10,0,4,1,1,0,0,10.00
2278786,1,1597088,2,7662592,Vittala,1,0,22,0,3,0,3,1,2,22.00
2278786,1,1597088,3,1224122,Badriprasad,2,0,16,2,7,0,2,1,0,8.00
2278786,1,1597088,4,8445318,K S AKSHAY KAUSHIK,2,0,19,0,7,0,2,3,0,9.50
2278786,1,1597088,5,8453971,Srikanth Krishnamurthy,1,0,20,0,1,0,3,0,0,20.00
2278786,2,1597091,1,8445356,Pradyumna,1,0,3,0,4,0,0,0,1,3.00
2278786,2,1597091,2,5994303,Srikanth T K,2,0,13,1,7,0,1,2,1,6.50
2278786,2,1597091,3,4048334,Ravi Aniruddha  (c),1,0,11,0,2,2,0,0,1,11.00
2278786,2,1597091,4,4143096,Aniruddha Dv,1,0,1,1,5,0,0,0,0,1.00
2278786,2,1597091,5,8445499,Paneendra Gautham,1,0,11,1,3,1,1,0,0,11.00
2278786,2,1597091,6,6508655,Sudharshan,0.2,0,1,1,2,0,0,1,0,3.00
2303511,1,1597085,1,809867,Prabhav Pk,1,0,6,0,5,1,0,2,0,6.00
2303511,1,1597085,2,5922441,Prasanna,1,0,3,1,4,0,0,1,0,3.00
2303511,1,1597085,3,8469156,Sridhar,1,0,3,1,4,0,0,1,0,3.00
2303511,1,1597085,4,8445414,Tej,2,1,2,1,10,0,0,0,0,1.00
2303511,1,1597085,5,809163,Pranav Pk,2,0,25,1,5,1,3,0,0,12.50
2303511,2,1597091,1,8445356,Pradyumna,1,0,14,0,2,0,2,0,0,14.00
2303511,2,1597091,2,5994303,Srikanth T K,1,0,18,0,0,0,2,2,0,18.00
2303511,2,1597091,3,4048334,Ravi Aniruddha,0.3,0,8,0,0,0,1,0,0,16.00
2303560,1,1597087,1,8578931,Srihari,1,0,16,0,3,1,1,0,2,16.00
2303560,1,1597087,2,10031492,Mady,2,0,19,0,6,0,2,0,2,9.50
2303560,1,1597087,3,8846097,Vishnunandan,1,0,19,0,2,1,2,2,0,19.00
2303560,1,1597087,4,8452770,Ashrith Kashyap,2,0,20,1,6,0,2,4,0,10.00
2303560,1,1597087,5,8445420,Madhusudhan K S,1,0,12,0,4,0,2,0,0,12.00
2303560,2,1597084,1,5387685,Aprameya Guruprasad,1,0,2,0,5,0,0,1,0,2.00
2303560,2,1597084,2,8444682,Pavan Gautham,1.5,0,32,0,4,0,4,5,0,17.45
2303560,2,1597084,3,8129644,Pavan Kashyap  (c),2,0,15,0,8,1,0,6,1,7.50
2303560,2,1597084,4,8670699,Ajith P,1,0,22,1,1,0,3,1,1,22.00
2303560,2,1597084,5,8814171,Pavan Raghavendra,1,0,16,0,2,0,2,0,1,16.00
2308545,1,1597087,1,8578931,Srihari,1,0,1,0,5,0,0,0,0,1.00
2308545,1,1597087,2,8452770,Ashrith Kashyap,2,0,19,1,6,0,2,2,1,9.50
2308545,1,1597087,3,10031492,Mady,2,0,17,2,9,0,2,2,1,8.50
2308545,1,1597087,4,8846097,Vishnunandan,1,0,11,1,2,0,1,2,0,11.00
2308545,1,1597087,5,8445343,Anantha Madhava,0.4,0,3,2,4,0,0,2,1,4.50
2308545,2,1597091,1,8445356,Pradyumna,1,0,2,0,4,0,0,0,0,2.00
2308545,2,1597091,2,4143096,Aniruddha Dv,1,0,28,0,1,1,4,0,0,28.00
2308545,2,1597091,3,5994303,Srikanth T K,2,0,11,0,5,1,0,1,0,5.50
2308545,2,1597091,4,4048334,Ravi Aniruddha  (c),1.2,0,11,1,3,0,1,0,0,8.25
2379201,1,1597087,1,8578931,Srihari,1,0,2,0,4,0,0,0,0,2.00
2379201,1,1597087,2,8445420,Madhusudhan K S,1,0,24,0,1,1,2,1,2,24.00
2379201,1,1597087,3,10031492,Mady,2,0,11,2,5,1,0,1,0,5.50
