cricheroes_match_id,cricheroes_tournament_id,season,match_number,stage,cricheroes_team_a_id,cricheroes_team_b_id,team_a_name,team_b_name,scheduled_at,started_at,ended_at,venue,overs_per_innings,players_per_side,cricheroes_toss_winner_id,toss_decision,status,result_type,cricheroes_winner_id,winner_name,win_margin,cricheroes_pom_player_id,pom_player_name,cricheroes_round_name,match_result,is_super_over,ground_name,city_name
2303560,293657,2,17,qualifier,1597084,1597087,Hoysala Hunters,Rashtrakuta Ranadheeras,2021-10-03T15:24:40.000Z,2021-10-03T15:24:40.000Z,2021-10-05 16:31:13,Pro Legacy Sports Academy,7,6,1597087,bowl,completed,normal,1597087,Rashtrakuta Ranadheeras,2 wickets,8452770,Ashrith Kashyap,Eliminator,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2308545,293657,2,18,qualifier,1597091,1597087,Vijayanagara Royals,Rashtrakuta Ranadheeras,2021-10-23T13:46:54.000Z,2021-10-23T13:46:54.000Z,2021-10-23 14:18:52,Pro Legacy Sports Academy,7,6,1597087,bowl,completed,normal,1597087,Rashtrakuta Ranadheeras,5 wickets,8452770,Ashrith Kashyap,Qualifier  2,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2379201,293657,2,19,final,1597085,1597087,Chalukya Chakravarthis,Rashtrakuta Ranadheeras,2021-10-23T14:25:51.000Z,2021-10-23T14:25:51.000Z,2021-10-23 15:38:52,Pro Legacy Sports Academy,7,6,1597087,bowl,completed,normal,1597085,Chalukya Chakravarthis,29 runs,809163,Pranav Pk,Final,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
3903620,443660,3,1,group,1597085,1597087,Chalukya Chakravarthis,Rashtrakuta Ranadheeras,2022-07-02T12:31:48.000Z,2022-07-02T12:31:48.000Z,2022-07-02 13:12:22,Pro Legacy Sports Academy,7,6,1597085,bat,completed,normal,1597087,Rashtrakuta Ranadheeras,5 wickets,8452770,Ashrith Kashyap,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
3903638,443660,3,2,group,1597088,1597091,Kadamba Yodhas,Vijayanagara Royals,2022-07-02T13:16:56.000Z,2022-07-02T13:16:56.000Z,2022-07-02 13:40:13,Pro Legacy Sports Academy,7,6,1597088,bat,completed,normal,1597091,Vijayanagara Royals,6 wickets,8445499,Paneendra Gautham,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
3903627,443660,3,3,group,1597084,1597090,Hoysala Hunters,Wodeyars The Kings,2022-07-02T13:43:30.000Z,2022-07-02T13:43:30.000Z,2022-07-02 14:29:51,Pro Legacy Sports Academy,7,6,1597090,bowl,completed,normal,1597084,Hoysala Hunters,8 runs,5387685,Aprameya Guruprasad,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
3903665,443660,3,4,group,1597091,1597085,Vijayanagara Royals,Chalukya Chakravarthis,2022-07-02T14:35:21.000Z,2022-07-02T14:35:21.000Z,2022-07-02 15:07:42,Pro Legacy Sports Academy,7,6,1597085,bowl,completed,normal,1597085,Chalukya Chakravarthis,4 wickets,8445414,Tej,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
3903658,443660,3,5,group,1597084,1597087,Hoysala Hunters,Rashtrakuta Ranadheeras,2022-07-02T15:12:17.000Z,2022-07-02T15:12:17.000Z,2022-07-02 15:49:38,Pro Legacy Sports Academy,7,6,1597087,bowl,completed,normal,1597087,Rashtrakuta Ranadheeras,2 wickets,8452770,Ashrith Kashyap,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
3903671,443660,3,6,group,1597088,1597090,Kadamba Yodhas,Wodeyars The Kings,2022-07-02T15:56:32.000Z,2022-07-02T15:56:32.000Z,2022-07-02 16:40:32,Pro Legacy Sports Academy,7,6,1597090,bowl,completed,normal,1597090,Wodeyars The Kings,4 wickets,8444531,Shreenidhi Prakash,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
3903689,443660,3,7,group,1597084,1597085,Hoysala Hunters,Chalukya Chakravarthis,2022-07-03T04:39:28.000Z,2022-07-03T04:39:28.000Z,2022-07-03 05:35:36,Pro Legacy Sports Academy,7,6,1597085,bowl,completed,normal,1597084,Hoysala Hunters,9 runs,8129644,Pavan Kashyap,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
