cricheroes_match_id,innings_number,cricheroes_team_id,batting_order,cricheroes_player_id,name,is_captain,runs,balls,minutes,fours,sixes,strike_rate,batting_hand,how_to_out,is_out
6947039,2,1597090,3,8445420,Madhusudhan K S,0,8,5,3,0,1,160.00,RHB,retired out,1
6947039,2,1597090,4,8445292,Mahesh,0,5,5,3,1,0,100.00,LHB,run out Ajith P / BHARATH G S AGASTHYA,1
6947039,2,1597090,5,1224122,Badriprasad,0,20,9,5,1,2,222.22,RHB,not out,0
6947039,2,1597090,6,8445342,Guruprasad Ramachandrachar  (c & wk),0,0,0,1,0,0,0.00,LHB,not out,0
6947120,1,1597084,1,3542117,Amith P,0,3,7,7,0,0,42.86,RHB,retired hurt,1
6947120,1,1597084,2,8453971,Srikanth Krishnamurthy,0,0,0,6,0,0,0.00,RHB,run out Pradyumna,1
6947120,1,1597084,3,19048034,Balaji,0,0,0,5,0,0,0.00,RHB,retired hurt,1
6947120,1,1597084,4,10046726,Shrivatsa Hatwar,0,7,7,4,1,0,100.00,RHB,retired hurt,1
6947120,1,1597084,5,10031492,Mady,0,54,16,11,1,8,337.50,RHB,not out,0
6947120,1,1597084,6,8814171,Pavan Raghavendra,0,23,11,9,2,2,209.09,RHB,retired hurt,1
6947120,1,1597084,7,8129644,Pavan Kashyap,1,7,4,2,0,1,175.00,RHB,not out,0
6947120,2,1597088,1,8445356,Pradyumna,0,1,6,2,0,0,16.67,RHB,retired out,1
6947120,2,1597088,2,6508655,Sudharshan,0,0,0,4,0,0,0.00,RHB,run out Pavan Kashyap,1
6947120,2,1597088,3,8445462,Prasad K S,1,19,20,14,0,2,95.00,RHB,run out Srikanth Krishnamurthy,1
6947120,2,1597088,4,8444531,Shreenidhi Prakash,0,7,3,5,0,1,233.33,RHB,b Mady,1
6947120,2,1597088,5,8445318,K S AKSHAY KAUSHIK,0,1,4,8,0,0,25.00,RHB,c&b Pavan Kashyap,1
6947120,2,1597088,6,19421271,Krishnamurthy,0,1,3,3,0,0,33.33,RHB,c Pavan Raghavendra b Srikanth Krishnamurthy,1
6947120,2,1597088,7,8469156,Sridhar,0,1,8,10,0,0,12.50,RHB,not out,0
6947131,1,1597091,1,20546462,Hrishikesha,0,2,6,3,0,0,33.33,RHB,retired hurt,1
6947131,1,1597091,2,4143096,Aniruddha Dv,0,0,1,6,0,0,0.00,RHB,c Srikanth T K b Prasanna,1
6947131,1,1597091,3,4048300,Vadiraj,0,2,6,2,0,0,33.33,RHB,retired hurt,1
6947131,1,1597091,4,8445343,Anantha Madhava,0,15,13,12,2,0,115.38,RHB,not out,0
6947131,1,1597091,5,5387685,Aprameya Guruprasad,0,12,3,1,0,2,400.00,RHB,c Vishnunandan b Prasanna,1
